"id","clip","speaker","rough","casual","honest","proper","easygoing","fastspeaking"
1341,"M4_03","M4","5","5","3","1","4","2"
1341,"M4_04","M4","4","5","4","1","4","4"
1341,"M5_01","M5","1","3","3","4","2","2"
1341,"M5_02","M5","4","4","3","3","3","3"
1341,"M5_03","M5","2","4","3","4","3","3"
1341,"M5_04","M5","1","5","3","2","4","3"
1341,"somewhatagree","attention_check","4","4","4","4","4","4"
1341,"somewhatdisagree","attention_check","2","2","2","2","2","2"
1341,"stronglyagree","attention_check","6","6","6","6","6","6"
1341,"stronglydisagree","attention_check","1","1","3","5","3","2"
1346,"F1_01","F1","5","2","5","1","1","5"
1346,"F1_02","F1","4","5","5","5","2","4"
1346,"F1_03","F1","5","5","5","1","1","2"
1346,"F1_04","F1","5","5","5","5","1","4"
1346,"F2_01","F2","1","2","5","5","4","2"
1346,"F2_02","F2","1","5","5","5","5","5"
1346,"F2_03","F2","4","2","1","5","1","5"
1346,"F2_04","F2","2","2","5","5","2","4"
1346,"F3_01","F3","2","1","1","5","1","5"
1346,"F3_02","F3","5","1","5","5","1","5"
1346,"F3_03","F3","5","1","5","5","1","5"
