"id","clip","speaker","rough","casual","honest","proper","easygoing","fastspeaking","clip_rank","clip_score","speaker_gender","duration","num_of_words","wordspersec","num_of_syllables","syllablespersec","npviV_all","npviV_nophrasefinal","pitchpvi","f0var","st_pitchpvi","stvar","st_pitchpvi_new","stvar_new","npviV_nophrasefinal_median","npviV_all_median"
1289,"F1_04","F1","4","4","4","2","4","4",29,0.031933347,"female",2.44,9,3.68852459,14,5.737704918,40.21778936,42.56744609,20.31038313,23.13006432,3.844793169,3.080209469,3.858211057,3.131799822,43.84890188,43.25335931
1289,"F2_01","F2","3","5","3","3","3","3",6,0.010929073,"female",1.859,8,4.303388919,9,4.841312534,38.21453939,38.79747529,31.92768881,122.7627768,5.912391344,6.155674739,3.556942223,2.37053868,36.00048936,33.55105217
1289,"F2_02","F2","3","3","3","3","3","3",5,0.008914872,"female",2.157,9,4.172461752,12,5.563282337,35.03006261,25.21337175,16.39925948,107.6107654,3.132377004,6.213489179,2.66549139,4.068517495,17.9,20
1289,"F2_03","F2","3","5","3","3","3","3",19,0.019875982,"female",2.442,13,5.323505324,14,5.733005733,46.12197504,45.42001841,34.74998455,77.85280279,6.450235018,4.79569192,3.00269483,3.502846389,28.65851227,28.74559597
1289,"F2_04","F2","3","4","3","3","3","3",9,0.012412881,"female",1.686,4,2.372479241,7,4.151838671,63.83082417,60.45760918,11.60839319,17.57420828,2.170286054,1.611061529,2.105232113,1.584072375,65.15490166,71.07137045
1289,"F3_01","F3","2","4","3","3","3","4",7,0.011230533,"female",1.898,7,3.688092729,13,6.849315068,41.01049804,41.09299051,24.19770873,89.20663859,4.494081488,6.096944375,3.663807078,6.045156283,45.6289037,42.86599228
1289,"F3_02","F3","3","4","3","3","3","4",25,0.026941786,"female",2.276,11,4.833040422,13,5.711775044,53.10342967,51.71932502,18.71746932,59.73231273,3.356688707,3.789774027,3.336739058,3.570296863,58.04491714,58.27806392
1289,"F3_03","F3","3","3","3","3","3","4",10,0.012805009,"female",1.896,9,4.746835443,10,5.274261603,52.05336844,49.49677927,27.69693054,76.48493945,5.049667548,4.601981073,4.624028698,3.135627315,43.11043566,52.88753799
1289,"F3_04","F3","2","3","3","3","3","3",8,0.012303802,"female",1.663,8,4.810583283,8,4.810583283,58.41427588,67.66645487,21.06336324,25.41885847,4.108222098,2.597668562,4.625814341,2.569256314,73.29432679,64.15730063
1289,"F4_01","F4","3","4","3","3","3","3",17,0.01880579,"female",1.921,9,4.685059865,11,5.726184279,59.97850614,56.99555638,8.00405049,12.57519735,1.509659736,1.156191846,1.498710978,1.15039744,49.67829163,57.04840344
